Serial|Price|Sold.Date|Size|Address
171|612,000|8/21/14|2 bd, 2 ba, 1,030 sqft|1 Laurel St APT 401, San Carlos, CA
172|1.62M|8/19/14|4 bd, 2.5 ba, 3,063 sqft|337 Clifton Ave, San Carlos, CA
173|1.6M|8/19/14|3 bd, 3 ba, 2,600 sqft|3230 La Mesa Dr, San Carlos, CA
174|1.03M|8/15/14|3 bd, 2 ba, 1,310 sqft|961 Mccue Ave, San Carlos, CA
175|1.73M|8/14/14|4 bd, 3.5 ba, 3,269 sqft|20 Molton Ave, San Carlos, CA
176|915,000|8/14/14|2 bd, 1 ba, 790 sqft|848 Sunset Dr, San Carlos, CA
177|1.73M|8/14/14|4 bd, 3.5 ba, 3,269 sqft|20 Molton Ave, San Carlos, CA
178|1.35M|8/12/14|3 bd, 3 ba, 2,540 sqft|507 Exeter Way, San Carlos, CA
179|1.3M|8/11/14|3 bd, 3 ba, 1,530 sqft|109 Club Dr, San Carlos, CA
180|1.29M|8/7/14|3 bd, 2 ba, 1,560 sqft|1981 Eucalyptus Ave, San Carlos, CA
181|1.24M|8/7/14|3 bd, 3 ba, 2,880 sqft|1107 Royal Ln, San Carlos, CA
182|2.48M|8/6/14|5 bd, 4 ba, 3,304 sqft|23 Camborne Ave, San Carlos, CA
183|1.22M|8/4/14|4 bd, 4 ba, 2,720 sqft|281 Dartmouth Ave, San Carlos, CA
184|350,000|8/1/14|2 bd, 1 ba, 870 sqft|2540 Howard Ave, San Carlos, CA
185|1.86M|8/1/14|3 bd, 2 ba, 2,150 sqft|2240 Howard Ave, San Carlos, CA
186|1.2M|7/31/14|4 bd, 2 ba, 1,580 sqft|304 Elm St, San Carlos, CA
187|1M|7/31/14|2 bd, 1 ba, 880 sqft|2674 Thornhill Dr, San Carlos, CA
188|850,000|7/30/14|3 bd, 1 ba, 1,690 sqft|153 Edgehill Dr, San Carlos, CA
189|1.7M|7/30/14|4 bd, 3 ba, 2,250 sqft|870 Orange Ave, San Carlos, CA
190|950,000|7/28/14|2 bd, 1 ba, 1,090 sqft|549 Prospect St, San Carlos, CA
191|1.55M|7/28/14|3 bd, 3 ba, 2,160 sqft|185 Lyndhurst Ave, San Carlos, CA
192|1.8M|7/28/14|3 bd, 2 ba, 1,824 sqft|2432 Melendy Dr, San Carlos, CA
193|1.19M|7/28/14|4 bd, 3 ba, 2,720 sqft|393 Chestnut St, San Carlos, CA
194|980,000|7/25/14|3 bd, 2 ba, 1,480 sqft|14 Vine St, San Carlos, CA
195|1.55M|7/25/14|3 bd, 3 ba, 1,860 sqft|2813 Eaton Ave, San Carlos, CA
196|1.02M|7/25/14|2 bd, 2.5 ba, 1,793 sqft|1 Lilly Ln, San Carlos, CA
197|1.79M|7/25/14|4 bd, 3 ba, 2,260 sqft|1637 Cedar St, San Carlos, CA
198|1.5M|7/25/14|4 bd, 2 ba, 2,190 sqft|40 Curry Ct, San Carlos, CA
199|1.12M|7/25/14|3 bd, 3 ba, 1,414 sqft|1001 Laurel St UNIT 419, San Carlos, CA
200|1M|7/24/14|2 bd, 1 ba, 1,260 sqft|1274 Magnolia Ave, San Carlos, CA
201|725,000|7/24/14|3 bd, 2 ba, 1,239 sqft|3358 Brittan Ave APT 18, San Carlos, CA
202|1.44M|7/24/14|3 bd, 2.5 ba, 2,310 sqft|10 Iris Ln, San Carlos, CA
203|1.2M|7/23/14|3 bd, 1 ba, 1,230 sqft|1316 Chestnut St, San Carlos, CA
204|2.1M|7/23/14|5 bd, 5.5 ba, 5,190 sqft|54 Eaton Villa Pl, Redwood City, CA
205|1.6M|7/22/14|3 bd, 3 ba, 2,000 sqft|1316 Orange Ave, San Carlos, CA
206|956,000|7/22/14|3 bd, 2 ba, 1,370 sqft|1066 Cedar St, San Carlos, CA
207|1.3M|7/22/14|3 bd, 2.5 ba, 1,360 sqft|1100 Walnut St, San Carlos, CA
208|440,000|7/18/14|4 bd, -- ba, 3,520 sqft|132 Bay View Dr, San Carlos, CA
209|1.23M|7/18/14|2 bd, 1 ba, 1,420 sqft|236 Kelton Ave, San Carlos, CA
210|916,000|7/18/14|3 bd, 2 ba, 1,680 sqft|23 Chestnut St, San Carlos, CA
211|1.47M|7/18/14|3 bd, 2 ba, 2,050 sqft|3131 Brittan Ave, San Carlos, CA
212|655,000|7/16/14|2 bd, 2 ba, 1,040 sqft|3329 Brittan Ave APT 10, San Carlos, CA
213|1.21M|7/16/14|3 bd, 2 ba, 1,390 sqft|889 Cordilleras Ave, San Carlos, CA
214|675,000|7/16/14|2 bd, 1 ba, 980 sqft|1148 Rosewood Ave, San Carlos, CA
215|675,100|7/15/14|1 bd, 1 ba, 774 sqft|633 Elm St APT 400, San Carlos, CA
216|1.65M|7/15/14|3 bd, 2 ba, 1,784 sqft|1601 Arroyo Ave, San Carlos, CA
217|1.98M|7/14/14|2 bd, 1 ba, 1,390 sqft|17 Cranfield Ave, San Carlos, CA
218|1.4M|7/11/14|3 bd, 1 ba, 1,410 sqft|1362 Chestnut St, San Carlos, CA
219|800,000|7/8/14|3 bd, 3 ba, 1,410 sqft|1820 San Carlos Ave, San Carlos, CA
220|1.71M|7/3/14|4 bd, 2.5 ba, 2,300 sqft|2732 Milano Way, San Carlos, CA
221|1.18M|7/3/14|2 bd, 1.5 ba, 1,170 sqft|144 Edgehill Dr, San Carlos, CA
222|1.74M|7/3/14|4 bd, 3 ba, 2,570 sqft|1404 Crestview Dr, San Carlos, CA
223|999,000|7/3/14|3 bd, 2 ba, 2,490 sqft|133 Plymouth Ave, San Carlos, CA
224|147,000|7/1/14|3 bd, 2 ba, 1,239 sqft|3349 Brittan Ave APT 12, San Carlos, CA
225|1.18M|7/1/14|3 bd, 2 ba, 1,360 sqft|1358 Geneva Ave, San Carlos, CA
226|147,000|7/1/14|3 bd, 2 ba, 1,239 sqft|3349 Brittan Ave APT 12, San Carlos, CA
227|1.18M|7/1/14|3 bd, 2 ba, 1,360 sqft|1358 Geneva Ave, San Carlos, CA
228|645,000|6/30/14|2 bd, 2 ba, 1,040 sqft|3368 La Mesa Dr APT 7, San Carlos, CA
229|2.35M|6/30/14|4 bd, 4 ba, 3,680 sqft|58 Hillcrest Rd, San Carlos, CA
230|1.15M|6/27/14|3 bd, 2 ba, 1,390 sqft|261 Kelton Ave, San Carlos, CA
231|1.06M|6/26/14|2 bd, 2.5 ba, 1,793 sqft|20 Trillium Ln, San Carlos, CA
232|2.1M|6/26/14|4 bd, 4 ba, 3,184 sqft|112 Arundel Rd, San Carlos, CA
233|728,000|6/25/14|2 bd, 2.5 ba, 1,400 sqft|416 Portofino Dr # 18, San Carlos, CA
234|1.88M|6/24/14|2 bd, 1 ba, 840 sqft|1006 Alameda, San Carlos, CA
235|831,500|6/24/14|2 bd, 1 ba, 900 sqft|966 Cherry St, San Carlos, CA
236|1.9M|6/24/14|4 bd, 3 ba, 1,612 sqft|1501 San Carlos Ave, San Carlos, CA
237|2.05M|6/24/14|3 bd, 3 ba, 2,754 sqft|1729 Elizabeth St, San Carlos, CA
238|1.41M|6/24/14|3 bd, 2 ba, 1,630 sqft|100 Alberta Ave, San Carlos, CA
239|1.85M|6/23/14|2 bd, 1.5 ba, 1,190 sqft|294 Devonshire Blvd, San Carlos, CA
240|985,000|6/23/14|2 bd, 2.5 ba, 1,793 sqft|23 Calypso Ln # 34, San Carlos, CA
241|699,000|6/20/14|2 bd, 3 ba, 1,230 sqft|1 Elm St APT 110, San Carlos, CA
242|1.62M|6/20/14|3 bd, 2 ba, 1,550 sqft|80 Hartford Ave, San Carlos, CA
243|2.5M|6/20/14|16 bd, 1 ba, 9,804 sqft|308 Torino Dr # 1, San Carlos, CA
244|1.72M|6/19/14|4 bd, 2.5 ba, 2,250 sqft|154 Garnet Ave, San Carlos, CA
245|1.15M|6/19/14|3 bd, 3 ba, 1,450 sqft|843 Cedar St, San Carlos, CA
246|1.38M|6/18/14|4 bd, 2.5 ba, 1,640 sqft|1343 Chestnut St, San Carlos, CA
247|1.18M|6/18/14|3 bd, 3 ba, 2,030 sqft|1625 San Carlos Ave APT D, San Carlos, CA
248|1.6M|6/17/14|4 bd, 3 ba, 2,128 sqft|850 Regent Ct, San Carlos, CA
249|565,000|6/17/14|2 bd, 2 ba, 940 sqft|222 Laurel St APT 302, San Carlos, CA
250|2.1M|6/17/14|4 bd, 2.5 ba, 2,880 sqft|19 Camborne Ave, San Carlos, CA
251|59,500|6/16/14|3 bd, 2.5 ba, 1,940 sqft|1301 Oakhurst Ave, San Carlos, CA
252|680,000|6/13/14|2 bd, 2 ba, 1,180 sqft|1 Elm St APT 402, San Carlos, CA
253|1.9M|6/13/14|2 bd, 2 ba, 1,780 sqft|825 Somerset Ct, San Carlos, CA
254|765,000|6/13/14|3 bd, 2 ba, 1,239 sqft|3332 La Mesa Dr APT 9, San Carlos, CA
255|638,000|6/12/14|2 bd, 2 ba, 1,180 sqft|1 Elm St APT 303, San Carlos, CA
256|2M|6/12/14|4 bd, 4 ba, 2,359 sqft|50 Hilltop Dr, San Carlos, CA
257|1.23M|6/11/14|3 bd, 2 ba, 1,620 sqft|540 Pearl Ave, San Carlos, CA
258|1.6M|6/11/14|4 bd, 2 ba, 1,410 sqft|119 Brook St, San Carlos, CA
259|1.68M|6/11/14|3 bd, 2 ba, 1,700 sqft|1944 Eaton Ave, San Carlos, CA
260|1.91M|6/11/14|3 bd, 3 ba, 2,000 sqft|1625 Arroyo Ave, San Carlos, CA
261|1.23M|6/6/14|3 bd, 3 ba, 2,031 sqft|13 Trillium Ln, San Carlos, CA
262|1.5M|6/6/14|3 bd, 2 ba, 2,040 sqft|2222 Carmelita Dr, San Carlos, CA
263|1.6M|6/5/14|4 bd, 2 ba, 2,770 sqft|155 Highland Ave, San Carlos, CA
264|1.7M|6/3/14|4 bd, 2.5 ba, 2,401 sqft|2133 Brittan Ave, San Carlos, CA
265|1.27M|6/2/14|4 bd, 2.5 ba, 2,928 sqft|77 Madera Ave, San Carlos, CA
